group	claim_id	target	role
R_ACCEPTED	R-CL-CARRIER-001	BOMA.R.DedekindQuotient001.cutSetoid	accepted_claim_producer
R_ACCEPTED	R-CL-CARRIER-001	BOMA.R.DedekindQuotient001.RBOMA	accepted_claim_producer
R_ACCEPTED	R-CL-CARRIER-001	BOMA.R.DedekindQuotient001.rmk_eq_iff	accepted_claim_producer
R_ACCEPTED	R-CL-QEMBED-001	BOMA.R.DedekindQuotient001.rOfQ_injective	accepted_claim_producer
R_ACCEPTED	R-CL-QEMBED-001	BOMA.R.DedekindQuotient001.rOfQ_order	accepted_claim_producer
R_ACCEPTED	R-CL-ORDER-001	BOMA.R.DedekindOrderConstructive001.rLE_refl	accepted_claim_producer
R_ACCEPTED	R-CL-ORDER-001	BOMA.R.DedekindOrderConstructive001.rLE_trans	accepted_claim_producer
R_ACCEPTED	R-CL-ORDER-001	BOMA.R.DedekindOrderConstructive001.rLE_antisymm	accepted_claim_producer
R_ACCEPTED	R-CL-ORDER-001	BOMA.R.DedekindOrderClassical001.rLE_total_classical	accepted_claim_producer
R_ACCEPTED	R-CL-ORDER-001	BOMA.R.DedekindStrictOrder001.rlt_irrefl	accepted_claim_producer
R_ACCEPTED	R-CL-NONTRIV-001	BOMA.R.DedekindOrderedFieldClosure001.rZero_ne_rOne_field	accepted_claim_producer
R_ACCEPTED	R-CL-ADD-001	BOMA.R.DedekindAdditionLaws001.rAdd_comm	accepted_claim_producer
R_ACCEPTED	R-CL-ADD-001	BOMA.R.DedekindAdditionLaws001.rAdd_assoc	accepted_claim_producer
R_ACCEPTED	R-CL-ADD-001	BOMA.R.DedekindAdditionLaws001.rAdd_zero_left	accepted_claim_producer
R_ACCEPTED	R-CL-ADD-001	BOMA.R.DedekindAdditiveInverse001.rAdd_neg_right	accepted_claim_producer
R_ACCEPTED	R-CL-ADD-001	BOMA.R.DedekindOrderedFieldClosure001.rLE_add_right_iff	accepted_claim_producer
R_ACCEPTED	R-CL-ADD-001	BOMA.R.DedekindOrderedFieldClosure001.rNeg_order_reversing	accepted_claim_producer
R_ACCEPTED	R-CL-MUL-001	BOMA.R.DedekindSignedMulBasicLaws001.rMulCandidate_comm	accepted_claim_producer
R_ACCEPTED	R-CL-MUL-001	BOMA.R.DedekindSignedMulAssociativity001.rMulCandidate_assoc	accepted_claim_producer
R_ACCEPTED	R-CL-MUL-001	BOMA.R.DedekindSignedMulBasicLaws001.rMulCandidate_one_left	accepted_claim_producer
R_ACCEPTED	R-CL-MUL-001	BOMA.R.DedekindSignedMulDistributivity001.rMulCandidate_add_right	accepted_claim_producer
R_ACCEPTED	R-CL-MUL-001	BOMA.R.DedekindOrderedRing001.rMulCandidate_order_compatible	accepted_claim_producer
R_ACCEPTED	R-CL-MUL-001	BOMA.R.DedekindPositiveDecomposition001.rPosNeg_decomposition	known_direct_totality_consumer
R_ACCEPTED	R-CL-INV-001	BOMA.R.DedekindNonzeroInverse004.r_inverse_exists_nonzero	accepted_claim_producer
R_ACCEPTED	R-CL-INV-001	BOMA.R.DedekindNonzeroInverse004.r_inverse_witness_unique	accepted_claim_producer
R_ACCEPTED	R-CL-INV-001	BOMA.R.DedekindOrderedFieldClosure001.rInverse_positive_of_positive	accepted_claim_producer
R_ACCEPTED	R-CL-FIELD-001	BOMA.R.DedekindOrderedFieldClosure001.rZero_ne_rOne_field	accepted_claim_producer
R_ACCEPTED	R-CL-FIELD-001	BOMA.R.DedekindOrderedFieldClosure001.rLE_add_right_iff	accepted_claim_producer
R_ACCEPTED	R-CL-FIELD-001	BOMA.R.DedekindOrderedFieldClosure001.rNeg_order_reversing	accepted_claim_producer
